Date,Minimum Temperature (C),Maximum Temperature (C),Rainfall (mm),Sunshine (hours),Relative Humidity (%),Cloud Cover (oktas),Wind Direction,Wind Speed (km/h),Maximum Wind Gust (km/h),MSL Pressure (hPa)
03/07/2019,-33.0,45.2,50.8,10.6,86,4,SE,20,41,1030.7
04/07/2019,-16.3,40.0,7.5,5.6,70,6,E,4,42,1014.5
05/07/2019,-24.6,48.3,47.9,12.7,0,5,WSW,5,54,1017.0
06/07/2019,-4.7,27.1,24.0,8.7,16,7,NE,1,46,1002.3
07/07/2019,-19.0,42.2,30.4,4.1,97,8,ESE,25,31,1000.8
08/07/2019,11.8,37.5,47.2,9.3,1,1,,30,55,1016.8
09/07/2019,13.3,42.5,4.0,10.6,4,2,SE,9,37,1014.1
10/07/2019,20.6,47.7,35.5,12.5,26,4,SSE,30,31,1008.4
11/07/2019,-38.2,42.4,16.0,11.4,18,4,NNW,6,33,1014.6
12/07/2019,-6.3,48.2,10.7,9.3,48,3,ENE,12,50,1010.5
13/07/2019,-21.4,46.4,43.9,8.1,44,2,SW,5,53,1007.6
14/07/2019,-26.2,31.2,9.3,5.1,95,8,SSW,6,40,1002.2
15/07/2019,11.9,28.2,32.4,7.7,40,6,W,4,44,1000.6
16/07/2019,-12.0,44.7,14.2,8.7,63,0,NNE,25,38,1023.1
17/07/2019,-9.5,37.7,3.6,5.2,66,2,WNW,8,34,1025.7
18/07/2019,8.8,37.8,23.2,6.7,21,5,WSW,18,49,1025.7
19/07/2019,-23.1,33.2,17.3,7.4,15,1,N,14,44,1018.3
20/07/2019,-28.1,40.3,31.8,11.1,46,0,NE,28,54,1030.8
21/07/2019,19.1,39.7,43.3,5.9,100,0,NNE,2,32,1018.9
22/07/2019,-25.5,31.4,23.4,12.9,94,7,SSE,21,34,1024.1
23/07/2019,-38.1,38.3,29.4,6.9,11,2,NNE,14,42,1000.7
24/07/2019,-26.3,44.1,50.1,7.5,98,4,S,29,59,1011.1
25/07/2019,-5.7,26.2,8.1,8.9,62,7,SSW,13,45,1024.5
26/07/2019,-12.7,48.7,46.0,8.0,11,1,NNW,23,55,1029.7
27/07/2019,-2.4,34.5,0.4,10.4,44,1,S,25,59,1027.9
28/07/2019,-34.2,34.7,17.2,9.2,80,6,NE,0,46,1015.4
29/07/2019,-35.2,42.4,38.7,5.6,23,3,WSW,26,49,1002.3
30/07/2019,1.6,36.3,10.8,11.4,37,4,ESE,25,48,1019.0
31/07/2019,-38.4,42.9,41.2,4.5,9,6,N,23,52,1006.2
01/08/2019,0.3,43.0,27.1,11.5,78,5,NW,0,34,1022.1
02/08/2019,-38.6,39.5,22.1,4.1,40,4,W,2,59,1000.1
03/08/2019,-31.8,36.9,2.7,7.6,57,0,WNW,27,48,1012.4
04/08/2019,-8.1,42.3,45.4,12.4,16,5,SSW,20,36,1023.7
05/08/2019,-2.8,39.9,43.5,4.8,18,0,WNW,10,56,1030.9
06/08/2019,-32.0,46.4,25.5,10.6,79,3,S,0,32,1007.1
07/08/2019,12.1,29.1,33.0,10.9,90,4,NW,23,49,1012.1
08/08/2019,-37.8,32.8,32.3,7.8,73,8,WNW,8,41,1004.2
09/08/2019,3.8,26.4,37.2,13.8,30,8,,7,56,1027.4
10/08/2019,-8.3,42.2,25.5,13.1,48,4,SSE,18,49,1028.4
11/08/2019,12.6,45.8,35.2,9.3,14,5,NNW,30,31,1021.0
12/08/2019,15.1,36.9,22.3,4.2,65,8,S,25,35,1028.7
13/08/2019,-2.6,38.2,2.0,13.2,8,7,E,1,34,1010.3
14/08/2019,0.4,31.9,42.0,10.0,36,7,SW,21,40,1004.8
15/08/2019,19.4,36.2,23.0,12.1,66,8,NW,10,33,1003.6
16/08/2019,2.9,49.1,48.2,9.8,43,6,NW,21,45,1002.0
17/08/2019,21.4,47.6,3.8,10.4,27,0,WNW,28,52,1015.9
18/08/2019,-30.8,49.3,4.7,12.7,21,5,SE,27,34,1024.1
